ID,WR,SR,CM,Condition,Trial,Session,BlkB,OddsA,originalOddsA,OddsB,PtResp,RT,CorrectResp,IsCorrect,L(X|A),L(X|B),LR(A),Prior(A),LogLLA,LogBaserate
D007,0,1,0,2,19,1,6,0.1,,0.9,1,,1,1,0.009754611,0.000609663,16,0.1,2.772588722,-2.197224577
D007,0,1,0,2,20,1,7,0.5,,0.5,1,,1,1,0.019509221,0.000304832,64.00000001,0.5,4.158883083,0
D007,0,1,0,2,21,1,3,0.6,,0.4,0,,0,1,0.001219326,0.004877305,0.25,0.6,-1.386294361,0.405465108
D007,0,1,0,2,22,1,4,0.3,,0.7,0,,0,1,0.002438653,0.002438653,1,0.3,0,-0.84729786
D007,0,1,0,2,23,1,4,0,,1,0,,0,1,0.002438653,0.002438653,1,0.000001,0,-13.81550956
D007,0,1,0,2,24,1,2,0.4,,0.6,0,,0,1,0.000609663,0.009754611,0.0625,0.4,-2.772588722,-0.405465108
D007,0,1,0,2,25,1,1,0.3,,0.7,0,,0,1,0.000304832,0.019509221,0.015625,0.3,-4.158883083,-0.84729786
D007,0,1,0,2,26,1,5,0.2,,0.8,1,,2,1,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361
D007,0,1,0,2,27,1,5,0.3,,0.7,1,,1,1,0.004877305,0.001219326,4.000000001,0.3,1.386294361,-0.84729786
D007,0,1,0,2,28,1,2,0.7,,0.3,0,,0,1,0.000609663,0.009754611,0.0625,0.7,-2.772588722,0.84729786
D007,0,1,0,2,29,1,2,0.9,,0.1,0,,0,1,0.000609663,0.009754611,0.0625,0.9,-2.772588722,2.197224577
D007,0,1,0,2,30,1,4,0.7,,0.3,0,,1,0,0.002438653,0.002438653,1,0.7,0,0.84729786
D007,0,1,0,2,31,1,6,0.7,,0.3,1,,1,1,0.009754611,0.000609663,16,0.7,2.772588722,0.84729786
D007,0,1,0,2,32,1,5,0.4,,0.6,1,,1,1,0.004877305,0.001219326,4.000000001,0.4,1.386294361,-0.405465108
D007,0,1,0,2,33,1,3,0.5,,0.5,1,,0,0,0.001219326,0.004877305,0.25,0.5,-1.386294361,0
